Country,Level 1,Level 2,Level 3,Level 4,Crime (C),Terrorism (T),Unrest (U),Health (H),Natural Disaster (N),Time-Limited Event (E),Kidnapping (K),Detention (D),Other (O)
Afghanistan,0,0,0,1,1,1,1,1,0,0,1,1,0
Albania,0,1,0,0,1,0,0,0,0,0,0,0,0
Algeria,0,1,0,1,1,1,0,0,0,0,1,0,0
Andorra,1,0,0,0,0,0,0,0,0,0,0,0,0
Angola,0,1,0,0,1,0,0,1,0,0,0,0,0
Anguilla,1,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,0,1,0,0,0,0,0,0,1,0,0,0,1
Antigua and Barbuda,1,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1,1,0,0,1,0,0,0,0,0,0,0,0
Armenia,0,1,0,1,0,0,0,0,0,0,0,0,1
Aruba,1,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1,0,0,0,0,0,0,0,0,0,0,0,0
Austria,1,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,0,1,0,1,0,1,0,0,0,0,0,0,1
Bahrain,0,1,0,0,0,1,0,0,0,0,0,0,0
Bangladesh,0,0,1,1,1,1,1,0,0,0,1,0,0
Barbados,1,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,1,0,0,1,0,0,0,0,0,1
Belgium,0,1,0,0,0,1,0,0,0,0,0,0,0
Belize,0,1,1,0,1,0,0,0,0,0,0,0,0
Benin,0,1,0,1,1,1,0,0,0,0,1,0,0
Bermuda,1,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,1,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0,1,0,1,1,0,1,0,0,0,0,0,0
Bonaire,1,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,1,0,0,0,1,0,0,0,0,0,0,1
Botswana,0,1,0,0,1,0,0,0,0,0,0,0,0
Brazil,1,0,0,1,1,0,0,0,0,0,0,0,0
British Virgin Islands,1,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,1,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,1,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,1,1,1,0,0,0,0,1,0,0
Burundi,0,0,1,1,1,0,1,1,0,0,0,0,0
Cabo Verde,1,1,0,0,1,0,0,0,0,0,0,0,0
Cambodia,1,1,0,0,1,0,0,0,0,0,0,0,1
Cameroon,0,1,0,1,1,1,1,1,0,0,1,0,1
Canada,1,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands,1,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,1,1,0,1,1,0,1,1,0,1
Chad,0,0,1,1,1,1,1,0,0,0,1,0,1
Chile,0,1,0,0,1,0,1,0,0,0,0,0,0
China,0,1,0,0,0,0,0,0,0,0,0,0,1
Colombia,0,0,1,1,1,1,1,0,0,0,1,0,0
Comoros,0,1,0,0,1,0,1,0,0,0,0,0,0
Costa Rica,0,1,0,0,1,0,0,0,0,0,0,0,0
Croatia,1,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,0,1,0,0,1,0,0,0,0,0,0,0,1
Curaçao,1,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,1,1,0,0,0,0,0,0,0,0,0,0,1
Czechia,1,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,0,0,0,1,1,1,1,0,0,0,1,0,1
Denmark,0,1,0,0,0,1,0,0,0,0,0,0,0
Djibouti,0,1,1,0,0,1,0,0,0,0,0,0,1
Dominica,1,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,1,0,0,1,0,0,0,0,0,0,0,0
Ecuador,0,1,1,1,1,0,1,0,0,0,1,0,0
Egypt,0,0,1,1,0,1,0,0,0,0,0,0,1
El Salvador,1,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,0,1,0,0,1,0,0,1,0,0,0,0,0
Eritrea,0,1,0,0,0,0,0,0,0,0,0,1,1
Estonia,1,0,0,0,0,0,0,0,0,0,0,0,0
Eswatini,0,1,0,0,1,0,1,0,0,0,0,0,0
Ethiopia,0,0,1,1,1,1,1,0,0,0,1,0,1
Federated States of Micronesia,1,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,1,1,0,0,0,0,0,0,0,0,0,0,0
Finland,1,0,0,0,0,0,0,0,0,0,0,0,0
France,0,1,0,0,0,1,1,0,0,0,0,0,0
French Guiana,1,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,1,0,0,0,0,0,0,0,0,0,0,0,0
French West Indies,1,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,0,1,0,0,1,0,1,1,0,0,0,0,0
Georgia,1,0,0,1,1,0,1,0,0,0,0,0,1
Germany,0,1,0,0,0,1,0,0,0,0,0,0,0
Ghana,0,1,1,0,1,0,1,0,0,0,0,0,1
Greece,1,0,0,0,,0,0,0,0,0,0,0,0
Greenland,0,1,0,0,0,0,0,0,1,0,0,0,1
Grenada,1,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0,0,1,1,1,0,0,0,0,0,0,0,0
Guinea,0,1,0,0,1,0,1,1,0,0,0,0,0
Guinea-Bissau,0,0,1,0,1,0,1,1,0,0,0,0,0
Guyana,0,0,1,0,1,0,0,0,0,0,0,0,0
