Country,cluster_k4,Level 1,Level 2,Level 3,Level 4,Crime (C),Terrorism (T),Unrest (U),Health (H),Natural Disaster (N),Time-Limited Event (E),Kidnapping (K),Detention (D),Other (O)
Albania,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Angola,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Argentina,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Belize,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Bolivia,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Botswana,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Cabo Verde,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Cambodia,0,1,1,0,0,1,0,0,0,0,0,0,0,1
Chile,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Comoros,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Costa Rica,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Cuba,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Dominican Republic,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Equatorial Guinea,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Eswatini,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Gabon,0,0,1,0,0,1,0,1,1,0,0,0,0,0
Ghana,0,0,1,1,0,1,0,1,0,0,0,0,0,1
Guatemala,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Guinea,0,0,1,0,0,1,0,1,1,0,0,0,0,0
Guinea-Bissau,0,0,0,1,0,1,0,1,1,0,0,0,0,0
Guyana,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Honduras,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Jamaica,0,0,1,0,1,1,0,0,1,0,0,0,0,0
Kuwait,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Laos,0,0,1,1,0,1,0,1,0,0,0,0,0,1
Liberia,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Madagascar,0,0,1,1,0,1,0,1,0,0,0,0,0,0
Malawi,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Mexico,0,1,1,1,1,1,0,0,0,0,0,1,0,0
Namibia,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Nepal,0,0,1,0,0,0,0,1,0,0,0,0,0,0
New Caledonia,0,0,0,1,0,1,0,1,0,0,0,0,0,0
Nicaragua,0,0,0,1,0,1,0,0,1,0,0,0,1,1
Panama,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Paraguay,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Republic of the Congo,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Senegal,0,1,1,0,0,1,0,0,0,0,0,0,0,1
Serbia,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Sierra Leone,0,0,1,0,0,1,0,1,1,0,0,0,0,0
Solomon Islands,0,0,1,0,0,1,0,1,1,0,0,0,0,1
The Bahamas,0,0,1,0,0,1,0,0,0,0,0,0,0,0
The Gambia,0,0,1,0,0,1,0,0,1,0,0,0,0,1
Timor-Leste,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Turks and Caicos Islands,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Uruguay,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Zimbabwe,0,0,1,0,0,1,0,1,0,0,0,0,0,1
